source,target_uri,target,type
blacksloveboyslove.bsky.social,at://did:plc:s4jvo2ncjzhm7lwkabods33r/app.bsky.feed.post/3mov5k3os3k2i,,reply
platonicluv.bsky.social,at://did:plc:pwnce4uwt6xdrsoguwpcgz64/app.bsky.feed.post/3move6v7yv22q,starlighthwx.bsky.social,reply
nicd.masto.ahlcode.fi.ap.brid.gy,at://did:plc:nukfdbq6juo7clv2u2ntflkt/app.bsky.feed.post/3moverzizmgf2,,reply
franzanth.bsky.social,at://did:plc:7i52imaeoc5hrgc5lpuforqq/app.bsky.feed.post/3movtzyltzs2r,,reply
emilymbender.bsky.social,at://did:plc:j3hiqh5g6il7vmphiyldeklv/app.bsky.feed.post/3movzqgy3ws26,mkirschenbaum.bsky.social,reply
le0nkn1ght.bsky.social,at://did:plc:ico7mhqftrjhdgqm73ejsptd/app.bsky.feed.post/3moxes2apjc2q,,reply
lgbookworm.bsky.social,at://did:plc:rtmbv5ocknjd2y6r2woapsz6/app.bsky.feed.post/3moy55ngpgs2h,,reply
hillingsama.bsky.social,at://did:plc:dgrawr4ohmvj25swlz6ifn5m/app.bsky.feed.post/3moyjywu4fs2v,,reply
naugtur.pl,at://did:plc:z2rokxrttw5254hogmucux2x/app.bsky.feed.post/3monwtckvis2y,,reply
felipepepe.bsky.social,at://did:plc:pz6yoeiyv7aj67uavrji26r2/app.bsky.feed.post/3mozuft44ds2x,,reply
nicolasdahan.bsky.social,at://did:plc:iw2lm4x7nimtd72ovc7xmfas/app.bsky.feed.post/3mp225xkap22d,,reply
kafkagaming.bsky.social,at://did:plc:y5mlqprtgk4kxedsubhvbeib/app.bsky.feed.post/3mp23riq2g225,kafkagaming.bsky.social,reply
rh3.bsky.social,at://did:plc:wmyyaenaparn2vva64g2x4ie/app.bsky.feed.post/3mp3dvnnmpk2f,,reply
ultimateillusion.bsky.social,at://did:plc:5hbk7ca5wesj72idsa2eez4y/app.bsky.feed.post/3mp45ib52k22p,ultimateillusion.bsky.social,reply
ocyanos.bsky.social,at://did:plc:ce7vs5aii5oxbh46qfgk2jvs/app.bsky.feed.post/3mp4kcxx5pc2q,,reply
